text,label
Tere jaise,abuse
Tere baap ki,abuse
nhi road theek hai,real
Tumhare jaise,abuse
subscribe to my channel,spam
mera number hai 999999999,spam
mera laptop kho gaya hai,spam
asdfghjkl poiuytrewq,spam
999999999999999,spam
whatsapp forward hai ye,spam
plz road saf kr do,real
Karol Bagh me road pe potholes hain,real
Tum log,abuse
Gaand mein dard ho raha hai kya,abuse
Tere baare mein,abuse
Janakpuri me traffic signal band hai,real
park ki safai kr do,real
Chal jaa beta,abuse
Sector 7 me water supply nhi aa raha,real
modiji please help me,spam
Rohini me gutter overflow ho rha hai,real
Mayur Vihar me road construction debris padha hai,real
Sector 12 me footpath tuta hua hai,real
Kutte ke aage mat,abuse
https://bit.ly/3zMzEB,spam
street light jalao,real
Saket me park me dirty water hai,real
Kya tum,abuse
mera gaon me fire hoga,spam
mera gaon me aisa koi samasya nahi hai,spam
Kya tumhare dimag mein kuch hai,abuse
Tere kaam kaafi nahi hai,abuse
mera bhed kaha gaya?,spam
Dwarka me market me paani ki leakage hai,real
yha safai krwa do,real
Pitampura me gali me gutter overflow ho rha,real
bhai log please subscribe krlo,spam
Chal beta,abuse
Tum logon ki maa behan,abuse
Sector 14 me street dogs bahut hain,real
Masturbate karne wale,abuse
Karol Bagh me jaldiii sewerage thik kr do,real
Saket me footpath pe damage hai,real
Pagal insaan,abuse
mera mobile charge nahi ho raha,spam
mera koi samasya nahi hai,spam
mera paani puri tarah se nikal raha hai,spam
chutiya banane wali road,spam
Tere maa ki,abuse
Tere jaise kaafi,abuse
Dwarka me metro ke paas bahut gandagi hai,real
meri gali me dragon ne pothole kiya,spam
zombie ne manhole cover toda,spam
bhot bada pothole hai,real
mera account hack ho gaya hai,spam
Lajpat Nagar me sewage problem hai,real
Tere jaise ko,abuse
Gaand mein,abuse
Sector 12 me open manholes hain,real
Kya tum log,abuse
mera computer virus se bhar gaya hai,spam
mera gaon bacha lein,spam
Tere jaise tarah,abuse
mera chhota problem hai,spam
meri gali me sabziyan ug rahi hain,spam
mera bike kho gaya hai police help,spam
mera laptop screen toot gaya hai,spam
Lajpat Nagar me kachra koi utha hi nhi raha,real
Rohini sector 10 me road puri tuti hui h,real
Gaali dene wale,abuse
Chutiya,abuse
Sector 7 me safai krwa do pls,real
mera paani leak ho raha hai ghar me,spam
Sector 7 me road cave-in ho gaya hai,real
Dwarka me colony me pani ki problem hai,real
mera naam hai modi ji complaint,spam
alien spaceship se paani leak ho rha h,spam
free fire recharge karne ke liye click karein,spam
ufo landing se road damage ho gyi dwarka me,spam
Patli gali,abuse
Tere jaise log,abuse
Sector 12 me gutter bahut bhar gaya hai,real
mera koi complaint nahi hai thoda,spam
Saket me road me potholes hain pls kr do,real
Lajpat Nagar me bhot moskitoes hain yahan,real
Janakpuri me market ke paas nala bahut ganda,real
Sector 14 me road dirty hai,real
Mayur Vihar me park me chitrak baag hai,real
mera paani bottle me hai,spam
Mayur Vihar me park bahut ganda hua hai,real
Pitampura me safai nahi hoti hai,real
Uttam Nagar me illegal dumping ho rahi hai,real
Tumhare log,abuse
Teri maa ki chut,abuse
Karol Bagh me 2 din se pani leak ho rha h,real
mera sabse bada problem hai,spam
mera dost ka phone aaya hai,spam
buy bitcoin now or never,spam
zombie apocalypse alert delhi,spam
Harami,abuse
mera hath mein dard hai,spam
Janakpuri me kachra ke containers nhi aate,real
mera hath toot gaya hai,spam
pakistan se aaya hai ye problem,spam
Uttam Nagar me street light 4 din se band h,real
Dwarka me metro station ke paas kachra,real
road ki halat theek nhi hai,real
Tere baap,abuse
kachre ka solution chahiye,real
Tere maa,abuse
Sector 14 me bijli ki light jaldi kar do,real
Tumhara gyaan,abuse
Pitampura me school ke saamne traffic signal kharab,real
Pahad ke niche,abuse
Rohini me bhot bahut gandagi hai yha,real
Tumhara dimaag kharab hai,abuse
mera gaon me bhoot aaya hai,spam
Rohini me mandir ke paas road dirty hai,real
Tumhare jaise logon ko maarna chahiye,abuse
Chutiya pagal ho,abuse
Uttam Nagar me damaged divider fix kr do,real
Tumhari maa,abuse
gali me paani bhara hai,real
mera desh bacha lein,spam
and mand ka tola,abuse 
